epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
159,267.155,0.83146,0.57535,0.91266,0.96158,0.94283,0.95462,0.61382,1.22226,0.65519,1.22376,0.000683919,0.000683919,0.000683919
160,268.929,0.84252,0.59273,0.90583,0.93129,1,0.99119,0.65239,1.15008,0.62831,1.20858,0.000679204,0.000679204,0.000679204
161,270.647,0.8782,0.61458,0.9269,0.95442,1,0.99295,0.6338,1.17476,0.61704,1.2205,0.000674488,0.000674488,0.000674488
162,272.352,0.83489,0.56969,0.91632,0.98908,0.96542,0.98967,0.65033,1.17398,0.63044,1.22166,0.000669772,0.000669772,0.000669772
163,274.095,0.86914,0.613,0.89767,0.93372,0.94244,0.94911,0.64849,1.16606,0.64768,1.21964,0.000665057,0.000665057,0.000665057
164,275.823,0.82262,0.58087,0.91474,0.9511,0.97222,0.97885,0.65208,1.18068,0.64596,1.21508,0.000660341,0.000660341,0.000660341
165,277.535,0.85173,0.59448,0.90151,0.93916,0.97222,0.97752,0.62992,1.22127,0.63579,1.20142,0.000655625,0.000655625,0.000655625
166,279.219,0.86182,0.58485,0.90299,0.95852,0.97222,0.97752,0.64673,1.21635,0.64509,1.22423,0.000650909,0.000650909,0.000650909
167,280.927,0.83007,0.57135,0.90317,0.9866,0.97222,0.98833,0.65373,1.18019,0.63967,1.21301,0.000646194,0.000646194,0.000646194
168,282.618,0.81009,0.58,0.90132,0.93655,0.94444,0.94778,0.65577,1.15616,0.63704,1.20617,0.000641478,0.000641478,0.000641478
169,284.251,0.81224,0.55618,0.90589,0.95574,0.94444,0.95,0.68153,1.09894,0.59991,1.20532,0.000636762,0.000636762,0.000636762
170,285.932,0.84953,0.61146,0.89801,0.96287,0.9397,0.93821,0.67232,1.12171,0.63769,1.25161,0.000632047,0.000632047,0.000632047
171,287.613,0.80504,0.56087,0.92142,0.98065,0.97222,0.97486,0.65728,1.13659,0.65556,1.21531,0.000627331,0.000627331,0.000627331
172,289.255,0.87855,0.60951,0.91284,0.98605,0.97094,0.98019,0.66183,1.12456,0.65554,1.20819,0.000622615,0.000622615,0.000622615
173,290.951,0.82244,0.60179,0.93156,0.98375,0.97222,0.98967,0.66303,1.12144,0.62783,1.27246,0.0006179,0.0006179,0.0006179
174,292.658,0.79875,0.57079,0.90641,0.98282,0.96742,0.98967,0.65917,1.15511,0.62805,1.26007,0.000613184,0.000613184,0.000613184
175,294.289,0.85809,0.58063,0.92417,0.9674,0.97475,0.99295,0.66584,1.1908,0.63048,1.22942,0.000608468,0.000608468,0.000608468
176,295.936,0.84301,0.61929,0.92855,0.9922,0.97211,0.995,0.67708,1.14318,0.61193,1.22313,0.000603752,0.000603752,0.000603752
177,297.588,0.809,0.56057,0.89809,0.98898,0.99875,0.995,0.68057,1.16243,0.60945,1.25112,0.000599037,0.000599037,0.000599037
178,299.248,0.88531,0.60555,0.90826,0.99011,0.96116,0.99119,0.637,1.17554,0.64095,1.18975,0.000594321,0.000594321,0.000594321
179,300.913,0.81674,0.58163,0.89143,0.97909,0.97222,0.98967,0.65668,1.13984,0.62457,1.16295,0.000589605,0.000589605,0.000589605
